severity,ErrorID,Description
6,302036,Teardown SCTP connection conn_id for outside_interface :outside_ip /outside_port [([outside_idfw_user ],[outside_sg_info ])] to inside_interface :inside_ip /inside_port [([inside_idfw_user ],[inside_sg_info ])] duration time bytes bytes reason [(user )]
3,302302,ACL = deny; no sa created
6,302303,Built TCP state-bypass connection conn_id from initiator_interface :real_ip /real_port (mapped_ip /mapped_port ) to responder_interface :real_ip /real_port (mapped_ip /mapped_port )
6,302304,Teardown TCP state-bypass connection conn_id from initiator_interface :ip/port to responder_interface :ip/port duration , bytes , teardown reason .
6,302305,Built SCTP state-bypass connection conn_id for outside_interface :outside_ip /outside_port (mapped_outside_ip /mapped_outside_port )[([outside_idfw_user ],[outside_sg_info ])] to inside_interface :inside_ip /inside_port (mapped_inside_ip /mapped_inside_port )[([inside_idfw_user ],[inside_sg_info ])]
6,302306,Teardown SCTP state-bypass connection conn_id for outside_interface :outside_ip /outside_port [([outside_idfw_user ],[outside_sg_info ])] to inside_interface :inside_ip /inside_port [([inside_idfw_user ],[inside_sg_info ])] duration time bytes bytes reason
4,302311,Failed to create a new protocol connection from ingress interface:source IP/source port to egress interface:destination IP/destination port due to application cache memory allocation failure. The app-cache memory threshold level is threshold% and threshold check is enabled/disabled.
6,303002,FTP connection from src_ifc :src_ip /src_port to dst_ifc :dst_ip /dst_port , user username action file filename
5,303004,FTP cmd_string command unsupported - failed strict inspection, terminating connection from source_interface :source_address /source_port to dest_interface :dest_address/dest_interface
5,303005,Strict FTP inspection matched match_string in policy-map policy-name , action_string from src_ifc :sip /sport to dest_ifc :dip /dport
5,304001,user@source_address [(idfw_user )] Accessed URL dest_address : url .
5,304002,Access denied URL chars SRC IP_address [(idfw_user )] DEST IP_address : chars
3,304003,URL Server IP_address timed out URL url
6,304004,URL Server IP_address request failed URL url
7,304005,URL Server IP_address request pending URL url
3,304006,URL Server IP_address not responding
2,304007,URL Server IP_address not responding, ENTERING ALLOW mode.
2,304008,LEAVING ALLOW mode, URL Server is up.
7,304009,Ran out of buffer blocks specified by url-block command
3,305005,No translation group found for protocol src interface_name: source_address/source_port [(idfw_user )] dst interface_name: dest_address /dest_port [(idfw_user )]
3,305006,{outbound static|identity|portmap|regular) translation creation failed for protocol src interface_name:source_address/source_port [(idfw_user )] dst interface_name:dest_address/dest_port [(idfw_user )]
6,305007,addrpool_free(): Orphan IP IP_address on interface interface_number
3,305008,Free unallocated global IP address.
6,305009,Built {dynamic|static} translation from interface_name [(acl-name)]:real_address [(idfw_user )] to interface_name :mapped_address
6,305010,Teardown {dynamic|static} translation from interface_name :real_address [(idfw_user )] to interface_name :mapped_address duration time
6,305011,Built {dynamic|static} {TCP|UDP|ICMP} translation from interface_name :real_address/real_port [(idfw_user )] to interface_name :mapped_address/mapped_port
6,305012,Teardown {dynamic|static} {TCP|UDP|ICMP} translation from interface_name [(acl-name )]:real_address /{real_port |real_ICMP_ID } [(idfw_user )] to interface_name :mapped_address /{mapped_port |mapped_ICMP_ID } duration time
5,305013,Asymmetric NAT rules matched for forward and reverse flows; Connection protocol src interface_name :source_address /source_port [(idfw_user )] dst interface_name :dst_address /dst_port [(idfw_user )] denied due to NAT reverse path failure.
6,305014,Allocated block of ports for translation from real_interface :real_host_ip /real_source_port to real_dest_interface :real_dest_ip /real_dest_port.
3,305016,Unable to create protocol connection from real_interface :real_host_ip /real_source_port to real_dest_interface :real_dest_ip /real_dest_port due to reason .
3,305017,Pba-interim-logging: Active ICMP block of ports for translation from <source device IP> to <destination device IP>/<Active Port Block>
6,305018,MAP translation from src_ifc:src_ip/src_port-dst_ifc:dst_ip/dst_port to src_ifc:translated_src_ip/src_port-dst_ifc:translated_dst_ip/dst_port
3,305019,MAP node address ip/port has inconsistent Port Set ID encoding
3,305020,MAP node with address ip is not allowed to use port port\n
6,308001,console enable password incorrect for number tries (from IP_address )
4,308002,static global_address inside_address netmask netmask overlapped with global_address inside_address
4,308003,WARNING: The enable password is not configured
4,308004,The enable password has been configured by user admin
6,311001,LU loading standby start
6,311002,LU loading standby end
6,311003,LU recv thread up
6,311004,LU xmit thread up
6,312001,RIP hdr failed from IP_address : cmd=string , version=number domain=string on interface interface_name
3,313001,Denied ICMP type=number , code=code from IP_address on interface interface_name
4,313004,Denied ICMP type=icmp_type , from source_address on interface interface_name to dest_address :no matching session
4,313005,No matching connection for ICMP error message: icmp_msg_info on interface_name interface. Original IP payload: embedded_frame_info icmp_msg_info = icmp src src_interface_name :src_address [([idfw_user | FQDN_string ], sg_info )] dst dest_interface_name :dest_address [([idfw_user | FQDN_string ], sg_info )] (type icmp_type, code icmp_code ) embedded_frame_info = prot src source_address /source_port [([idfw_user | FQDN_string ], sg_info )] dst dest_address /dest_port [(idfw_user |FQDN_string ), sg_info ]
3,313008,Denied ICMPv6 type=number , code=code from IP_address on interface interface_name
4,313009,Denied invalid ICMP code icmp-code , for src-ifc :src-address /src-port (mapped-src-address/mapped-src-port) to dest-ifc :dest-address /dest-port (mapped-dest-address/mapped-dest-port) [user ], ICMP id icmp-id , ICMP type icmp-type
6,314001,Pre-allocated RTSP UDP backconnection for src_intf :src_IP to dst_intf :dst_IP /dst_port.
6,314002,RTSP failed to allocate UDP media connection from src_intf :src_IP to dst_intf :dst_IP /dst_port : reason_string.
6,314003,Dropped RTSP traffic from src_intf :src_ip due to: reason.
6,314004,RTSP client src_intf:src_IP accessed RTSP URL RTSP URL
6,314005,RTSP client src_intf:src_IP denied access to URL RTSP_URL.
6,314006,RTSP client src_intf:src_IP exceeds configured rate limit of rate for request_method messages.
3,315004,Fail to establish SSH session because RSA host key retrieval failed.
6,315011,SSH session from IP_address on interface interface_name for user user disconnected by SSH server, reason: reason
3,315012,Weak SSH type (alg) provided from client IP_address on interface Int. Connection failed. Not FIPS 140-2 compliant.
6,315013,SSH session from <SSH client address> on interface <interface name> for user “<user name>" rekeyed successfully.
3,316001,Denied new tunnel to IP_address . VPN peer limit (platform_vpn_peer_limit) exceeded
3,316002,VPN Handle error: protocol=protocol , src in_if_num :src_addr , dst out_if_num :dst_addr
3,317001,No memory available for limit_slow
3,317002,Bad path index of number for IP_address , number max
3,317003,IP routing table creation failure - reason
3,317004,IP routing table limit warning
3,317005,IP routing table limit exceeded - reason , IP_address netmask
3,317006,Pdb index error pdb , pdb_index , pdb_type
6,317007,Added route_type route dest_address netmask via gateway_address [distance /metric ] on interface_name route_type
6,317008,Deleted route_type route dest_address netmask via gateway_address [distance /metric ] on interface_name route_type
3,317012,Interface IP route counter negative - nameif-string-value
3,318001,Internal error: reason
3,318002,Flagged as being an ABR without a backbone area
3,318003,Reached unknow n state in neighbor state machine
3,318004,area string lsid IP_address mask netmask adv IP_address type number
3,318005,lsid ip_address adv IP_address type number gateway gateway_address metric number network IP_address mask netmask protocol hex attr hex net-metric number
3,318006,if interface_name if_state number
3,318007,OSPF is enabled on interface_name during idb initialization
3,318008,OSPF process number is changing router-id. Reconfigure virtual link neighbors with our new router-id
3,318009,OSPF: Attempted reference of stale data encountered in function , line: line_num
3,318101,Internal error: REASON
3,318102,Flagged as being an ABR without a backbone area
3,318103,Reached unknown state in neighbor state machine
3,318104,DB already exist: area AREA_ID_STR lsid i adv i type 0x x
3,318105,lsid i adv i type 0x x gateway i metric d network i mask i protocol #x attr #x net-metric d
3,318106,if IF_NAME if_state d
3,318107,OSPF is enabled on IF_NAME during idb initialization
3,318108,OSPF process d is changing router-id. Reconfigure virtual link neighbors with our new router-id
3,318109,OSPFv3 has received an unexpected message: 0x / 0x
3,318110,Invalid encrypted key s .
3,318111,SPI u is already in use with ospf process d
3,318112,SPI u is already in use by a process other than ospf process d .
3,318113,s s is already configured with SPI u .
3,318114,The key length used with SPI u is not valid
3,318115,s error occured when attempting to create an IPsec policy for SPI u
3,318116,SPI u is not being used by ospf process d .
3,318117,The policy for SPI u could not be removed because it is in use.
3,318118,s error occured when attemtping to remove the IPsec policy with SPI u
3,318119,Unable to close secure socket with SPI u on interface s
3,318120,OSPFv3 was unable to register with IPsec
3,318121,IPsec reported a GENERAL ERROR: message s , count d
3,318122,IPsec sent a s message s to OSPFv3 for interface s . Recovery attempt d
3,318123,IPsec sent a s message s to OSPFv3 for interface IF_NAME . Recovery aborted
3,318125,Init failed for interface IF_NAME
3,318126,Interface IF_NAME is attached to more than one area
3,318127,Could not allocate or find the neighbor
3,319001,Acknowledge for arp update for IP address dest_address not received (number ).
3,319002,Acknowledge for route update for IP address dest_address not received (number ).
3,319003,Arp update for IP address address to NPn failed.
3,319004,Route update for IP address dest_address failed (number ).
3,320001,The subject name of the peer cert is not allowed for connection
5,321001,Resource var1 limit of var2 reached.
5,321002,Resource var1 rate limit of var2 reached.
6,321003,Resource var1 log level of var2 reached.
6,321004,Resource var1 rate log level of var2 reached
2,321005,System CPU utilization reached utilization %
2,321006,System memory usage reached utilization %
3,321007,System is low on free memory blocks of size block_size (free_blocks CNT out of max_blocks MAX)
3,322001,Deny MAC address MAC_address, possible spoof attempt on interface interface
3,322002,ARP inspection check failed for arp {request|response} received from host MAC_address on interface interface . This host is advertising MAC Address MAC_address_1 for IP Address IP_address , which is {statically|dynamically} bound to MAC Address MAC_address_2 .
3,322003,ARP inspection check failed for arp {request|response} received from host MAC_address on interface interface . This host is advertising MAC Address MAC_address_1 for IP Address IP_address , which is not bound to any MAC Address.
6,322004,No management IP address configured for transparent firewall. Dropping protocol protocol packet from interface_in :source_address /source_port to interface_out :dest_address /dest_port
3,323001,Module module_id experienced a control channel communications failure.
3,323002,Module module_id is not able to shut down, shut down request not answered.
3,323003,Module module_id is not able to reload, reload request not answered.
3,323004,Module string one failed to write software newver (currently ver ), reason . Hw-module reset is required before further use.
3,323005,Module module_id can not be started completely
1,323006,Module ips experienced a data channel communication failure, data channel is DOWN.
3,323007,Module in slot slot experienced a firware failure and the recovery is in progress.
3,324000,Drop GTPv version message msg_type from source_interface :source_address /source_port to dest_interface:dest_address/dest_port Reason: reason
3,324001,GTPv0 packet parsing error from source_interface :source_address /source_port to dest_interface :dest_address /dest_port , TID: tid_value , Reason: reason
3,324002,No PDP[MCB] exists to process GTPv0 msg_type from source_interface :source_address /source_port to dest_interface :dest_address /dest_port , TID: tid_value
3,324003,No matching request to process GTPv version msg_type from source_interface:source_address/source_port to source_interface:dest_address/dest_port
3,324004,GTP packet with version%d from source_interface :source_address /source_port to dest_interface :dest_address /dest_port is not supported
3,324005,Unable to create tunnel from source_interface :source_address /source_port to dest_interface :dest_address /dest_port
3,324006,GSN IP_address tunnel limit tunnel_limit exceeded, PDP Context TID tid failed
3,324007,Unable to create GTP connection for response from source_address /0 to dest_address /dest_port
3,324008,No PDP exists to update the data sgsn [ggsn] PDPMCB Info REID: teid_value , Request TEID; teid_value , Local GSN: IPaddress (VPIfNum ), Remove GSN: IPaddress (VPIfNum )
5,324010,Subscriber IMSI PDP Context activated on network MCC/MNC mccmnc (IE type[/IE type]) [CellID cellID] 
5,324011,Subscriber IMSI location changed during handoff from MCC/MNC mccmnc (IE type[/IE type]) [CellID cellID] to MCC/MNC mccmnc (IE type[/IE type]) [CellID cellID]
3,324300,Radius Accounting Request from from_addr has an incorrect request authenticator
3,324301,Radius Accounting Request has a bad header length hdr_len , packet length pkt_len
3,325001,Router ipv6_address on interface has conflicting ND (Neighbor Discovery) settings
4,325002,Duplicate address ipv6_address/MAC_address on interface
4,325004,IPv6 Extension Header hdr_type action configuration. protocol from src_int :src_ipv6_addr /src_port to dst_interface : dst_ipv6_addr /dst_port .
4,325005,Invalid IPv6 Extension Header Content: string . detail regarding protocol, ingress and egress interface
4,325006,IPv6 Extension Header not in order: Type hdr_type occurs after Type hdr_type . TCP prot from inside src_int : src_ipv6_addr /src_port to dst_interface :dst_ipv6_addr /dst_port
3,326001,Unexpected error in the timer library: error_message
3,326002,Error in error_message : error_message
3,326004,An internal error occurred while processing a packet queue
3,326005,Mrib notification failed for (IP_address, IP_address )
3,326006,Entry-creation failed for (IP_address, IP_address )
3,326007,Entry-update failed for (IP_address, IP_address )
3,326008,MRIB registration failed
3,326009,MRIB connection-open failed
3,326010,MRIB unbind failed
3,326011,MRIB table deletion failed
3,326012,Initialization of string functionality failed
3,326013,Internal error: string in string line %d (%s )
3,326014,Initialization failed: error_message error_message
3,326015,Communication error: error_message error_message
3,326016,Failed to set un-numbered interface for interface_name (string )
3,326017,Interface Manager error - string in string : string
3,326019,string in string : string
3,326020,List error in string : string
3,326021,Error in string : string
3,326022,Error in string : string
3,326023,string - IP_address : string
3,326024,An internal error occurred while processing a packet queue.
3,326025,string
3,326026,Server unexpected error: error_message
3,326027,Corrupted update: error_message
3,326028,Asynchronous error: error_message
3,327001,IP SLA Monitor: Cannot create a new process
3,327002,IP SLA Monitor: Failed to initialize, IP SLA Monitor functionality will not work
3,327003,IP SLA Monitor: Generic Timer wheel timer functionality failed to initialize
3,328001,Attempt made to overwrite a set stub function in string .
3,328002,Attempt made in string to register with out of bounds key
3,329001,The string0 subblock named string1 was not removed
3,331001,Dynamic DNS Update for 'fqdn_name ' = ip_address failed
5,331002,Dynamic DNS type RR for ('fqdn_name ' - ip_address | ip_address - 'fqdn_name ') successfully updated in DNS server dns_server_ip
3,332001,Unable to open cache discovery socket, WCCP V2 closing down.
3,332002,Unable to allocate message buffer, WCCP V2 closing down.
5,332003,Web Cache IP_address /service_ID acquired
1,332004,Web Cache IP_address /service_ID lost
6,333001,EAP association initiated - context: EAP-context
5,333002,Timeout waiting for EAP response - context:EAP-context
6,333003,EAP association terminated - context:EAP-context
7,333004,EAP-SQ response invalid - context:EAP-context
7,333005,EAP-SQ response contains invalid TLV(s) - context:EAP-context
7,333006,EAP-SQ response with missing TLV(s) - context:EAP-context
7,333007,EAP-SQ response TLV has invalid length - context:EAP-context
7,333008,EAP-SQ response has invalid nonce TLV - context:EAP-context
6,333009,EAP-SQ response MAC TLV is invalid - context:EAP-context
5,333010,EAP-SQ response Validation Flags TLV indicates PV request - context:EAP-context
6,334001,EAPoUDP association initiated - host-address
5,334002,EAPoUDP association successfully established - host-address
5,334003,EAPoUDP association failed to establish - host-address
6,334004,Authentication request for NAC Clientless host - host-address
5,334005,Host put into NAC Hold state - host-address
5,334006,EAPoUDP failed to get a response from host - host-address
6,334007,EAPoUDP association terminated - host-address
6,334008,NAC EAP association initiated - host-address , EAP context: EAP-context
6,334009,Audit request for NAC Clientless host - Assigned_IP.
6,335001,NAC session initialized - host-address
5,335002,Host is on the NAC Exception List - host-address , OS: oper-sys
5,335003,NAC Default ACL applied, ACL:ACL-name - host-address
6,335004,NAC is disabled for host - host-address
4,335005,NAC Downloaded ACL parse failure - host-address
6,335006,NAC Applying ACL: ACL-name - host-address
7,335007,NAC Default ACL not configured - host-address
5,335008,NAC IPsec terminate from dynamic ACL: ACL-name - host-address
6,335009,NAC Revalidate request by administrative action - host-address
6,335010,NAC Revalidate All request by administrative action - num sessions
6,335011,NAC Revalidate Group request by administrative action for group-name group - num sessions
6,335012,NAC Initialize request by administrative action - host-address
6,335013,NAC Initialize All request by administrative action - num sessions
6,335014,NAC Initialize Group request by administrative action for group-name group - num sessions
3,336001,Route desination_network stuck-in-active state in EIGRP-ddb_name as_num. Cleaning up
3,336002,Handle handle_id is not allocated in pool.
3,336003,No buffers available for bytes byte packet
3,336004,Negative refcount in pakdesc pakdesc.
3,336005,Flow control error, error , on interface_name.
3,336006,num peers exist on IIDB interface_name.
3,336007,Anchor count negative
3,336008,Lingering DRDB deleting IIDB, dest network, nexthop address (interface), origin origin_str
3,336009,ddb_name as_id: Internal Error
5,336010,EIGRP-ddb_name tableid as_id: Neighbor address (%interface) is event_msg: msg
6,336011,event event
3,336012,Interface interface_names going down and neighbor_links links exist
3,336013,Route iproute, iproute_successors successors, db_successors rdbs
3,336014,“EIGRP_PDM_Process_name, event_log”
3,336015,“Unable to open socket for AS as_number”
3,336016,Unknown timer type timer_type expiration
3,336019,process_name as_number: prefix_source threshold prefix level (prefix_threshold) reached
6,337000,Created BFD session with local discriminator <id> on <real_interface> with neighbor <real_host_ip>
6,337001,Terminated BFD session with local discriminator <id> on <real_interface> with neighbor <real_host_ip> due to <failure_reason>
4,337005,Phone Proxy SRTP: Media session not found for media_term_ip/media_term_port for packet from in_ifc:src_ip/src_port to out_ifc:dest_ip/dest_port
4,338001,Dynamic filter monitored blacklisted protocol traffic from in_interface :src_ip_addr /src_port (mapped-ip /mapped-port) to out_interface :dest_ip_addr /dest_port , (mapped-ip /mapped-port), source malicious address resolved from local or dynamic list: domain name, threat-level: level_value, category: category_name
4,338002,Dynamic filter monitored blacklisted protocol traffic from in_interface :src_ip_addr /src_port (mapped-ip /mapped-port ) to out_interface :dest_ip_addr /dest_port (mapped-ip /mapped-port ), destination malicious address resolved from local or dynamic list: domain name, threat-level: level_value, category: category_name
4,338003,Dynamic filter monitored blacklisted protocol traffic from in_interface :src_ip_addr /src_port (mapped-ip /mapped-port) to out_interface :dest_ip_addr /dest_port , (mapped-ip /mapped-port), source malicious address resolved from local or dynamic list: ip address/netmask, threat-level: level_value, category: category_name
4,338004,Dynamic filter monitored blacklisted protocol traffic from in_interface :src_ip_addr /src_port (mapped-ip /mapped-port ) to out_interface :dest_ip_addr /dest_port (mapped-ip /mapped-port ), destination malicious address resolved from local or dynamic list: ip address/netmask, threat-level: level_value, category: category_name
4,338005,Dynamic filter dropped blacklisted protocol traffic from in_interface :src_ip_addr /src_port (mapped-ip /mapped-port ) to out_interface :dest_ip_addr /dest_port (mapped-ip /mapped-port ), source malicious address resolved from local or dynamic list: domain name, threat-level: level_value, category: category_name
4,338006,Dynamic filter dropped blacklisted protocol traffic from in_interface :src_ip_addr /src_port (mapped-ip /mapped-port ) to out_interface :dest_ip_addr /dest_port (mapped-ip /mapped-port ), destination malicious address resolved from local or dynamic list: domain name, threat-level: level_value, category: category_name
4,338007,Dynamic filter dropped blacklisted protocol traffic from in_interface :src_ip_addr /src_port (mapped-ip /mapped-port ) to out_interface :dest_ip_addr /dest_port (mapped-ip /mapped-port ), source malicious address resolved from local or dynamic list: ip address/netmask, threat-level: level_value, category: category_name
4,338008,Dynamic filter dropped blacklisted protocol traffic from in_interface :src_ip_addr /src_port (mapped-ip /mapped-port ) to out_interface :dest_ip_addr /dest_port (mapped-ip /mapped-port ), destination malicious address resolved from local or dynamic list: ip address/netmask, threat-level: level_value, category: category_name
4,338101,Dynamic filter action whitelisted protocol traffic from in_interface :src_ip_addr /src_port (mapped-ip /mapped-port) to out_interface :dest_ip_addr /dest_port , (mapped-ip /mapped-port), source malicious address resolved from local or dynamic list: domain name
4,338102,Dynamic filter action whitelisted protocol traffic from in_interface :src_ip_addr /src_port (mapped-ip /mapped-port ) to out_interface :dest_ip_addr /dest_port (mapped-ip /mapped-port ), destination malicious address resolved from local or dynamic list: domain name
4,338103,Dynamic filter action whitelisted protocol traffic from in_interface :src_ip_addr /src_port (mapped-ip /mapped-port) to out_interface :dest_ip_addr /dest_port , (mapped-ip /mapped-port), source malicious address resolved from local or dynamic list: ip address/netmask
4,338104,Dynamic filter action whitelisted protocol traffic from in_interface :src_ip_addr /src_port (mapped-ip /mapped-port ) to out_interface :dest_ip_addr /dest_port (mapped-ip /mapped-port ), destination malicious address resolved from local or dynamic list: ip address/netmask
4,338201,Dynamic filter monitored greylisted protocol traffic from in_interface :src_ip_addr /src_port (mapped-ip /mapped-port) to out_interface :dest_ip_addr /dest_port , (mapped-ip /mapped-port), source malicious address resolved from local or dynamic list: domain name, threat-level: level_value, category: category_name
4,338202,Dynamic filter monitored greylisted protocol traffic from in_interface :src_ip_addr /src_port (mapped-ip /mapped-port ) to out_interface :dest_ip_addr /dest_port (mapped-ip /mapped-port ), destination malicious address resolved from local or dynamic list: domain name, threat-level: level_value, category: category_name
4,338203,Dynamic filter dropped greylisted protocol traffic from in_interface :src_ip_addr /src_port (mapped-ip /mapped-port ) to out_interface :dest_ip_addr /dest_port (mapped-ip /mapped-port ), source malicious address resolved from local or dynamic list: domain name, threat-level: level_value, category: category_name
4,338204,Dynamic filter dropped greylisted protocol traffic from in_interface :src_ip_addr /src_port (mapped-ip /mapped-port ) to out_interface :dest_ip_addr /dest_port (mapped-ip /mapped-port ), destination malicious address resolved from local or dynamic list: domain name, threat-level: level_value, category: category_name
4,338301,Intercepted DNS reply for domain name from in_interface :src_ip_addr /src_port to out_interface :dest_ip_addr /dest_port , matched list
5,338302,Address ipaddr discovered for domain name from list , Adding rule
5,338303,Address ipaddr (name) timed out, Removing rule
6,338304,Successfully downloaded dynamic filter data file from updater server url
3,338305,Failed to download dynamic filter data file from updater server url
3,338306,Failed to authenticate with dynamic filter updater server url
3,338307,Failed to decrypt downloaded dynamic filter database file
5,338308,Dynamic filter updater server dynamically changed from old_server_host : old_server_port to new_server_host : new_server_port
3,338309,The license on this ASA does not support dynamic filter updater feature.
3,338310,Failed to update from dynamic filter updater server url, reason: reason string
3,339001,DNSCRYPT certificate update failed for <num_tries> tries
3,339002,Umbrella device registration failed with error code <err_code>
3,339003,Umbrella device registration was successful
3,339004,Umbrella device registration failed due to missing token
3,339005,Umbrella device registration failed after <num_tries> retries
3,339006,Umbrella resolver current resolver ipv46 is reachable, resuming Umbrella redirect.
3,339007,Umbrella resolver current resolver ipv46 is unreachable, moving to fail-open. Starting probe to resolver.
3,339008,Umbrella resolver current resolver ipv46 is unreachable, moving to fail-close.
3,340001,Loopback-proxy error: error_string context id context_id , context type = version /request_type /address_type client socket (internal)= client_address_internal /client_port_internal server socket (internal)= server_address_internal /server_port_internal server socket (external)= server_address_external /server_port_external remote socket (external)= remote_address_external /remote_port_external
6,340002,Loopback-proxy info: error_string context id context_id , context type = version /request_type /address_type client socket (internal)= client_address_internal /client_port_internal server socket (internal)= server_address_internal /server_port_internal server socket (external)= server_address_external /server_port_external remote socket (external)= remote_address_external /remote_port_external
6,341001,Policy Agent started successfully for VNMC vnmc_ip_addr
6,341002,Policy Agent stopped successfully for VNMC vnmc_ip_addr
3,341003,Policy Agent failed to start for VNMC vnmc_ip_addr
3,341004,Storage device not available: Attempt to shutdown module %s failed.
3,341005,Storage device not available. Shutdown issued for module %s .
3,341006,Storage device not available. Failed to stop recovery of module %s .
3,341007,Storage device not available. Further recovery of module %s was stopped. This may take several minutes to complete.
3,341008,Storage device not found. Auto-boot of module %s cancelled. Install drive and reload to try again.
6,341010,Storage device with serial number ser_no [inserted into | removed from] bay bay_no
3,341011,Storage device with serial number ser_no in bay bay_no faulty.
7,342001,REST API Agent started successfully.
3,342002,REST API Agent failed, reason: reason
3,342003,REST API Agent failure notification received. Agent will be restarted automatically.
3,342004,Failed to automatically restart the REST API Agent after 5 unsuccessful attempts. Use the 'no rest-api agent' and 'rest-api agent' commands to manually restart the Agent.
7,342005,REST API image has been installed successfully.
3,342006,Failed to install REST API image, reason: <reason>.
7,342007,REST API image has been uninstalled successfully.
3,342008,Failed to uninstall REST API image, reason: <reason>.4,4000,n: IPS:number string from IP_address to IP_address on interface interface_name
4,401001,Shuns cleared
4,401002,Shun added: IP_address IP_address port port
4,401003,Shun deleted: IP_address
4,401004,Shunned packet: IP_address = IP_address on interface interface_name
4,401005,Shun add failed: unable to allocate resources for IP_address IP_address port port
4,402114,IPSEC: Received an protocol packet (SPI=spi , sequence number=seq_num ) from remote_IP to local_IP with an invalid SPI.
4,402115,IPSEC: Received a packet from remote_IP to local_IP containing act_prot data instead of exp_prot data.
4,402116,IPSEC: Received an protocol packet (SPI=spi , sequence number=seq_num ) from remote_IP (username ) to local_IP . The decapsulated inner packet doesn’t match the negotiated policy in the SA. The packet specifies its destination as pkt_daddr , its source as pkt_saddr , and its protocol as pkt_prot . The SA specifies its local proxy as id_daddr /id_dmask /id_dprot /id_dport and its remote proxy as id_saddr /id_smask /id_sprot /id_sport .
4,402117,IPSEC: Received a non-IPsec (protocol ) packet from remote_IP to local_IP .
4,402118,IPSEC: Received an protocol packet (SPI=spi , sequence number seq_num ) from remote_IP (username ) to local_IP containing an illegal IP fragment of length frag_len with offset frag_offset .
4,402119,IPSEC: Received an protocol packet (SPI=spi , sequence number=seq_num ) from remote_IP (username ) to local_IP that failed anti-replay checking.
4,402120,IPSEC: Received an protocol packet (SPI=spi , sequence number=seq_num ) from remote_IP (username ) to local_IP that failed authentication.
4,402121,IPSEC: Received an protocol packet (SPI=spi , sequence number=seq_num ) from peer_addr (username ) to lcl_addr that was dropped by IPsec (drop_reason ).
4,402122,Received a cleartext packet from src_addr to dest_addr that was to be encapsulated in IPsec that was dropped by IPsec (drop_reason ).
4,402123,CRYPTO: The accel_type hardware accelerator encountered an error (code=error_string ) while executing crypto command command .
4,402124,CRYPTO: The ASA hardware accelerator encountered an error (Hardware error address, Core, Hardware error code, IstatReg, PciErrReg, CoreErrStat, CoreErrAddr, Doorbell Size, DoorBell Outstanding, SWReset).
4,402125,The ASA hardware accelerator ring timed out (parameters ).
4,402126,CRYPTO: The ASA created Crypto Archive File Archive Filename as a Soft Reset was necessary. Please forward this archived information to Cisco.
4,402127,CRYPTO: The ASA is skipping the writing of latest Crypto Archive File as the maximum # of files, max_number, allowed have been written to archive_directory . Please archive & remove files from Archive Directory if you want more Crypto Archive Files saved.
5,402128,CRYPTO: An attempt to allocate a large memory block failed, size: size , limit: limit
6,402129,CRYPTO: An attempt to release a DMA memory block failed, location: address
6,402130,CRYPTO: Received an ESP packet (SPI = xxxxxxxxxx, sequence number=xxxx) from 172.16.0.1 (user=user) to 192.168.0.2 with incorrect IPsec padding.
4,402131,CRYPTO: status changing the accel_instance hardware accelerator's configuration bias from old_config_bias to new_config_bias .
3,402140,CRYPTO: RSA key generation error: modulus len len
3,402141,CRYPTO: Key zeroization error: key set type , reason reason
3,402142,CRYPTO: Bulk data op error: algorithm alg , mode mode
3,402143,CRYPTO: alg type key op
3,402144,CRYPTO: Digital signature error: signature algorithm sig , hash algorithm hash
3,402145,CRYPTO: Hash generation error: algorithm hash
3,402146,CRYPTO: Keyed hash generation error: algorithm hash , key len len
3,402147,CRYPTO: HMAC generation error: algorithm alg
3,402148,CRYPTO: Random Number Generator error
3,402149,CRYPTO: weak encryption type (length ). Operation disallowed. Not FIPS 140-2 compliant
3,402150,CRYPTO: Deprecated hash algorithm used for RSA operation (hash alg ). Operation disallowed. Not FIPS 140-2 compliant
4,403101,PPTP session state not established, but received an XGRE packet, tunnel_id=number , session_id=number
4,403102,PPP virtual interface interface_name rcvd pkt with invalid protocol: protocol , reason: reason .
4,403103,PPP virtual interface max connections reached.
4,403104,PPP virtual interface interface_name requires mschap for MPPE.
4,403106,PPP virtual interface interface_name requires RADIUS for MPPE.
4,403107,PPP virtual interface interface_name missing aaa server group info
4,403108,PPP virtual interface interface_name missing client ip address option
4,403109,Rec'd packet not an PPTP packet. (ip ) dest_address=dest_address, src_addr= source_address, data: string.
4,403110,PPP virtual interface interface_name , user: user missing MPPE key from aaa server.
6,403500,PPPoE - Service name 'any' not received in PADO. Intf:interface_name AC:ac_name .
3,403501,PPPoE - Bad host-unique in PADO - packet dropped. Intf:interface_name AC:ac_name
3,403502,PPPoE - Bad host-unique in PADS - dropping packet. Intf:interface_name AC:ac_name
3,403503,PPPoE:PPP link down:reason
3,403504,PPPoE:No 'vpdn group group_name ' for PPPoE is created
4,403505,PPPoE:PPP - Unable to set default route to IP_address at interface_name
4,403506,PPPoE:failed to assign PPP IP_address netmask netmask at interface_name
3,403507,PPPoE:PPPoE client on interface interface failed to locate PPPoE vpdn group group_name
4,405001,Received ARP {request | response} collision from IP_address /MAC_address on interface interface_name with existing ARP entry IP_address /MAC_address
4,405002,Received mac mismatch collision from IP_address /MAC_address for authenticated host
4,405003,IP address collision detected between host IP_address at MAC_address and interface interface_name , MAC_address .
